event	left_node	right_node	left_date	right_date	midpoint_date
spe	754	753	2042.42	1778.33	1910.375
spe	753	751	1778.33	1613.625	1695.9775
hgt	751	749	1613.625	1448.555	1531.09
los	751	749	1613.625	1448.555	1531.09
hgt	736	GCA.001803795.1.Bacteria.Nitrospirota	1526.965	0.0	763.4825
hgt	736	GCA.001803795.1.Bacteria.Nitrospirota	1526.965	0.0	763.4825
hgt	659	GCA.000830255.1.Bacteria.Campylobacterota	1329.6085	0.0	664.80425
hgt	1076	GCF.000021565.1.Bacteria.Aquificota	1235.659	0.0	617.8295
hgt	586	585	1375.33	1166.9135	1271.12175
hgt	1430	GCA.001795235.1.Bacteria.Chloroflexota	1801.635	0.0	900.8175
hgt	961	GCA.001769385.1.Bacteria.Bacteroidota	860.4425	0.0	430.22125
dup	753	GCA.001803565.1.Bacteria.Nitrospinota.B	1778.33	0.0	889.165
dup	753	GCA.001803565.1.Bacteria.Nitrospinota.B	1778.33	0.0	889.165
hgt	791	GCA.002050235.1.Bacteria.Desulfobacterota.B	1228.3465	0.0	614.17325
spe	586	585	1375.33	1166.9135	1271.12175
hgt	585	GCA.002688175.1.Bacteria.Proteobacteria	1166.9135	0.0	583.45675
hgt	598	GCA.002292285.1.Bacteria.Proteobacteria	953.337	0.0	476.6685
hgt	634	GCF.001697225.1.Bacteria.Proteobacteria	1386.92	0.0	693.46
